"Subject","issue_description","Case Summary","Issue Summary","resolution","Account Name","Case Number"
"Picklist field will not accept a blank during Data Import Wizard","Picklist field will not accept a blank during Data Import Wizard","The conversation was about the EndUser facing an issue while using the data import wizard. They wanted to import a blank value to a picklist field, but it was not overwriting the existing data. Ritikesh suggested using Data Loader to replace fields with null or blank values. They agreed to connect on a quick screen share to discuss this further.","Issue with importing a blank value to a picklist field","https://help.salesforce.com/s/articleView?id=000382170&type=1","Standard Locknut","466902059"
"I get this error message when I run a flow that seemed to work in testing.  Error Occurred: The flow tried to update these records: 500PZ00000950TdYAI","I get this error message when I run a flow that seemed to work in testing.  Error Occurred: The flow tried to update these records: 500PZ00000950TdYAI. This error occurred: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: bad value for restricted picklist field: Journal Subscription Problem. You can look up ExceptionCode values in the SOAP API Developer Guide.
Salesforce Error ID: 1436004547-92293 (1720675294)","The conversation was about a customer experiencing an error while running a flow in Salesforce. The error was related to a picklist field with a restricted value checkbox checked. The agent offered to troubleshoot the issue through a screen-sharing session.","Error while running a flow in Salesforce related to a picklist field with a restricted value checkbox checked","the picklist field value was not included in several record types hence causing this error. After adding the value to record types, issue would resolve.","Springer Publishing Company, LLC","466903114"
"Einstein Automated Contacts","Einstein Automated Contacts","Ritikesh and EndUser had a conversation about Einstein Automated Contacts. Ritikesh confirmed that it cannot be tested in a sandbox environment and explained the permissions required for users to access it. They also discussed the visibility of Einstein Opportunity Contact Role Suggestions in the app launcher, and Ritikesh confirmed that all users with proper access to accounts, contacts, and opportunities can view it. Ritikesh provided helpful links for further information. The conversation ended with the EndUser confirming their understanding and expressing gratitude.","Questions about Einstein Automated Contacts and its accessibility","Ritikesh provided information on the limitations of testing in a sandbox environment, the permissions required for users to access Einstein Automated Contacts, and the visibility of Einstein Opportunity Contact Role Suggestions in the app launcher.

https://help.salesforce.com/s/articleView?id=sf.einstein_sales_setup_enable_adc.htm&type=5
https://help.salesforce.com/s/articleView?id=sf.einstein_sales_adc.htm&type=5
https://help.salesforce.com/s/articleView?id=sf.einstein_sales_setup_adc_considerations.htm&type=5","Flight Centre Travel Group Limited","466903307"
"Hello! How to prevent the default Email Signature from getting included in the emails sent out using SingleEmailMessage in Apex?","Hello! How to prevent the default Email Signature from getting included in the emails sent out using SingleEmailMessage in Apex?","Ritikesh and EndUser had a chat session where they discussed scheduling an online meeting. Ritikesh provided a meeting invite link and the EndUser shared their phone number and time zone. Ritikesh offered assistance and closed the chat session, with the EndUser expressing gratitude. The ticket will be closed.","Scheduling an online meeting","Use mail.setUseSignature(false) to remove signature while using apex to send email","Backroads","466940953"
"Hello I have tasks that are triggering through a process builder. Is there a way to associate the subject of a task with which process builder it's as","Hello I have tasks that are triggering through a process builder. Is there a way to associate the subject of a task with which process builder it's associated with?","The conversation was about the EndUser wanting to know which PB (Process Builder) is creating a task with a specific task subject. Ritikesh suggested tracking the org's metadata to fetch the information of automation, which may provide the name of the PB. They agreed to connect over a quick call to discuss this further.","Identifying the PB associated with a task","Tracking the org's metadata to fetch the information of automation","Mountainside Treatment Center","466943223"
"Need update on this case # 466941320","Need update on this case # 466941320","The customer contacted Salesforce Chat Support regarding an update on case 466941320. They mentioned that the lack of updates is affecting their project implementation timeline. The support agent assured the customer that they have contacted the case owner and escalated the priority of the case to HIGH. The agent also looped in the management team to expedite the process. The customer thanked the agent for their help and understanding.","Lack of updates on case 466941320","The support agent contacted the case owner, escalated the priority of the case to HIGH, and looped in the management team to expedite the process.","California Public Utilities Commission - 2","466950149"
"random units of measurement on a report","random units of measurement on a report","The conversation was about a user having an issue with units of measurement on a report chart. The agent requested login access and the dashboard URL to investigate. The agent identified the issue as the display units on the dashboard component and suggested changing it to a different unit. The user agreed and was advised to make the change on the chart on the dashboard.","Issue with units of measurement on a report chart","Change the display units on the dashboard component to a different unit","Emerald Cloud Lab","466974784"
"Reply, Reply All buttons are missing for some users from Email Message.","Reply, Reply All buttons are missing for some users from Email Message.","The conversation was about an issue where users were not able to see the reply and reply all buttons on email. The agent suggested checking if enhanced email is enabled and if the user is registered as a partner user. A screen-sharing session was scheduled for further troubleshooting.","Users not able to see reply and reply all buttons on email","The global publisher layout was not assigned to the affected user's profile. After assigning the layout to profile, issue got resolved.","The University of Portsmouth","467043870"
"Hi,  When converting a lead, it creates an account and an opportunity. Is there anyway to make so that when users convert a Lead it only generates a","Hi,

When converting a lead, it creates an account and an opportunity. Is there anyway to make so that when users convert a Lead it only generates a Opportunity?","The conversation was about the possibility of restricting lead conversion to only create opportunities. The analyst mentioned that it is not possible to create an opportunity without an account. They suggested setting up an automation to delete the account and contact record after lead conversion, but to reassign the created opportunity to a different account. The conversation also touched on changing the record type during lead conversion.","Restricting lead conversion to only create opportunities","Setting up an automation to delete the account and contact record after lead conversion, but reassigning the created opportunity to a different account","Sanitas USA, Inc.","467046513"
"can't log in to sandbox, it just keeps sending emails.","can't log in to sandbox, it just keeps sending emails.","The end user was having issues with signing into sandboxes and resetting their password. They were receiving password reset emails but were unable to login. The analyst helped them by sending a password reset email and advising them to open it in a new browser window. The issue was resolved and the end user was able to change their password successfully.","Issues with signing into sandboxes and resetting password","The analyst sent a password reset email and advised the end user to open it in a new browser window.","Western Health Advantage","467047238"
"help with mass email-  screen share please","help with mass email-  screen share please","Ritikesh has joined the chat. Hi Kevin, how are you? EndUser is okay. Ritikesh provided a link for joining.","No specific issue highlighted.","Resolution unavailable","Kev EP Enterprise LLC","467065111"
"Hi, I have a user trying to create a report of Purchase Orders with Product and Purchase Order Line Items but can't find a stock report.  The one I ca","Hi, I have a user trying to create a report of Purchase Orders with Product and Purchase Order Line Items but can't find a stock report.  The one I can find is Purchase Orders with PO Line Items - but it doesn't connect to Product.","Ritikesh and EndUser discussed the issue with a report. They agreed to connect on a screen-sharing session to troubleshoot. Ritikesh provided instructions on how to add a field to the report.","Issue with report","Here is the summary:
We added the field on report type. Below are the steps:

Setup -> report types- > Purchase Orders w and wo PO Line Items -> edit layout -> change the view to 'Logistics line items field' -> click on 'Add fields related via lookup �' -> select 'Product' -> tick 'Stocked by CMC' field and click OK -> save the report type


Go back to your report and refresh the browser and field is now available to use","Creative Materials Corporation","467088049"
